Date,Betsi Cadwaladr University Local Health Board ,Powys Teaching Local Health Board ,Hywel Dda University Local Health Board ,Swansea Bay University Local Health Board ,Cwm Taf Morgannwg University Local Health Board ,Aneurin Bevan University Local Health Board ,Cardiff and Vale University Local Health Board 
01/02/2020,504,40,358,302,392,396,334
02/02/2020,508,34,358,349,463,438,389
03/02/2020,633,65,470,346,613,554,497
04/02/2020,584,64,450,365,529,539,426
05/02/2020,574,48,422,359,561,484,473
06/02/2020,587,56,368,336,537,466,446
07/02/2020,556,58,381,346,493,474,440
08/02/2020,524,31,395,282,393,406,356
09/02/2020,497,25,343,301,417,408,370
10/02/2020,540,58,463,335,567,478,482
11/02/2020,559,42,383,355,526,510,407
12/02/2020,519,58,387,303,530,493,390
13/02/2020,549,69,399,309,527,424,454
14/02/2020,529,54,374,280,470,417,438
15/02/2020,505,37,320,252,401,355,344
16/02/2020,507,32,341,301,382,357,381
17/02/2020,592,50,434,322,531,457,438
18/02/2020,528,40,397,317,438,442,366
19/02/2020,521,41,381,305,485,421,372
20/02/2020,579,54,364,289,407,415,419
21/02/2020,540,39,400,283,473,397,390
22/02/2020,469,29,371,290,430,418,327
23/02/2020,511,29,374,337,402,438,399
24/02/2020,570,53,436,330,610,539,486
25/02/2020,522,49,403,311,558,445,400
26/02/2020,568,54,409,328,480,426,398
27/02/2020,603,46,403,310,532,478,450
28/02/2020,512,42,407,286,455,405,440
29/02/2020,570,31,350,313,397,358,334
01/03/2020,508,33,378,341,437,387,375
02/03/2020,586,63,463,346,621,521,453
03/03/2020,576,47,455,353,602,477,398
04/03/2020,542,39,393,324,509,427,409
05/03/2020,549,43,440,304,486,438,382
06/03/2020,521,40,392,314,497,416,406
07/03/2020,518,37,344,278,395,390,330
08/03/2020,557,30,418,316,406,485,388
09/03/2020,616,59,457,362,613,564,463
10/03/2020,567,57,428,322,531,451,408
11/03/2020,547,56,386,328,499,424,418
12/03/2020,484,50,372,312,477,397,333
13/03/2020,459,48,382,302,391,404,373
14/03/2020,466,27,284,255,350,357,268
15/03/2020,415,22,290,242,346,309,258
16/03/2020,504,36,368,239,422,398,343
17/03/2020,408,31,288,207,333,294,300
18/03/2020,375,20,251,187,341,282,275
19/03/2020,355,26,251,183,303,254,202
20/03/2020,398,25,234,169,276,271,224
21/03/2020,351,22,271,183,269,269,180
22/03/2020,313,10,216,178,254,254,218
23/03/2020,345,22,199,184,250,226,230
