Date,Betsi Cadwaladr University Local Health Board ,Powys Teaching Local Health Board,Hywel Dda University Local Health Board ,Swansea Bay University Local Health Board ,Cwm Taf Morgannwg University Local Health Board ,Aneurin Bevan University Local Health Board,Cardiff and Vale University Local Health Board,Velindre University NHS Trust 
01-Apr-20,93,0,68,100,111,241,158,11
02-Apr-20,68,0,70,119,122,205,160,11
03-Apr-20,83,0,77,129,124,216,160,12
04-Apr-20,89,0,62,123,122,219,170,8
05-Apr-20,98,0,73,155,134,231,162,6
06-Apr-20,98,0,85,155,156,226,180,7
07-Apr-20,103,0,84,168,160,208,180,7
08-Apr-20,115,0,87,184,178,239,200,7
09-Apr-20,124,0,90,194,160,243,190,6
10-Apr-20,135,0,105,233,156,246,191,3
11-Apr-20,139,0,104,180,178,244,210,4
12-Apr-20,156,0,101,200,174,249,220,4
13-Apr-20,143,0,96,200,170,203,217,3
14-Apr-20,164,0,95,199,171,201,206,4
15-Apr-20,165,0,96,207,161,211,214,5
16-Apr-20,169,0,103,220,156,212,205,7
17-Apr-20,193,0,105,198,163,202,203,4
18-Apr-20,221,0,103,192,154,202,210,3
19-Apr-20,208,0,98,191,146,203,193,2
20-Apr-20,201,0,109,196,138,200,186,2
21-Apr-20,178,0,96,195,123,179,215,3
22-Apr-20,194,0,104,191,115,178,193,1
23-Apr-20,273,12,93,176,179,241,233,2
24-Apr-20,257,18,99,185,195,208,229,2
25-Apr-20,264,21,88,175,171,250,250,2
26-Apr-20,282,22,78,177,162,229,248,3
27-Apr-20,282,11,79,166,157,232,266,4
28-Apr-20,299,10,82,153,153,213,251,1
29-Apr-20,283,9,88,147,155,191,259,3
30-Apr-20,283,11,95,158,164,198,250,4
01-May-20,291,10,80,144,162,196,126,3
02-May-20,287,13,82,136,183,190,135,5
03-May-20,288,13,84,135,150,186,99,3
04-May-20,281,10,84,133,152,184,125,6
05-May-20,283,10,85,123,174,169,126,8
06-May-20,295,8,72,115,162,163,120,4
07-May-20,344,12,69,92,157,174,110,3
08-May-20,376,16,78,82,180,175,109,4
09-May-20,348,15,76,109,176,150,110,4
10-May-20,326,13,74,95,167,158,99,3
11-May-20,300,15,77,91,163,153,88,2
12-May-20,309,18,78,74,154,155,102,2
13-May-20,258,18,65,59,174,141,96,2
14-May-20,295,18,56,55,172,126,103,1
15-May-20,310,17,51,46,148,124,86,3
16-May-20,311,14,41,51,157,132,99,1
17-May-20,322,15,46,52,149,123,80,1
18-May-20,304,12,46,55,141,123,77,3
19-May-20,328,12,46,46,181,111,96,4
20-May-20,316,10,35,24,185,116,103,4
21-May-20,315,8,38,51,171,120,121,3
22-May-20,318,7,39,54,178,114,241,6
23-May-20,340,8,46,49,199,121,216,6
24-May-20,301,8,40,34,170,122,220,3
25-May-20,290,7,36,29,157,105,212,0
26-May-20,301,9,40,70,201,104,240,1
27-May-20,291,5,39,81,217,112,238,4
28-May-20,317,7,36,72,237,104,243,1
29-May-20,300,9,29,89,209,106,240,2
30-May-20,319,6,33,91,207,102,241,0
31-May-20,304,7,23,72,200,92,242,0
01-Jun-20,308,18,40,67,194,93,230,0
02-Jun-20,338,19,25,58,203,95,261,2
03-Jun-20,314,13,39,62,202,122,233,3
04-Jun-20,356,15,23,72,184,131,242,9
05-Jun-20,352,14,32,83,163,109,226,1
06-Jun-20,351,14,42,99,179,125,226,2
07-Jun-20,293,15,41,80,175,128,197,0
08-Jun-20,284,15,44,43,161,102,200,0
09-Jun-20,295,16,32,46,171,83,205,1
10-Jun-20,294,14,31,40,171,96,191,0
11-Jun-20,286,14,48,38,148,106,216,1
12-Jun-20,300,15,41,44,148,60,227,0
13-Jun-20,297,18,46,43,142,74,247,0
14-Jun-20,279,17,54,40,127,74,198,0
15-Jun-20,267,13,40,38,131,50,232,0
16-Jun-20,273,13,33,39,137,70,233,2
17-Jun-20,272,12,35,39,128,80,219,4
18-Jun-20,250,11,35,29,114,93,236,0
19-Jun-20,258,16,39,33,120,90,216,1
20-Jun-20,230,16,26,41,94,89,216,0
21-Jun-20,244,14,34,44,88,81,229,0
22-Jun-20,240,12,22,58,96,57,211,0
23-Jun-20,229,9,16,38,93,71,235,0
24-Jun-20,218,10,26,31,89,99,258,3
