Date,Betsi Cadwaladr University Local Health Board ,Powys Teaching Local Health Board,Hywel Dda University Local Health Board ,Swansea Bay University Local Health Board ,Cwm Taf Morgannwg University Local Health Board ,Aneurin Bevan University Local Health Board,Cardiff and Vale University Local Health Board,Velindre University NHS Trust 
01-Apr-20,656,0,312,515,486,348,510,1
02-Apr-20,610,0,313,536,492,345,565,0
03-Apr-20,596,0,285,501,446,308,511,1
04-Apr-20,600,0,103,565,371,294,452,4
05-Apr-20,722,0,141,519,424,243,439,9
06-Apr-20,715,0,218,398,372,281,456,5
07-Apr-20,615,0,270,389,373,284,458,6
08-Apr-20,551,0,272,325,364,280,463,7
09-Apr-20,536,0,266,351,359,264,433,5
10-Apr-20,513,0,274,362,330,245,427,5
11-Apr-20,530,0,285,290,323,231,411,8
12-Apr-20,541,0,263,147,320,240,393,4
13-Apr-20,542,0,255,307,319,287,388,6
14-Apr-20,530,0,231,344,367,303,426,2
15-Apr-20,545,0,279,318,355,289,399,7
16-Apr-20,490,0,258,147,368,292,396,10
17-Apr-20,487,0,281,330,362,310,420,13
18-Apr-20,517,0,290,336,331,292,408,10
19-Apr-20,535,0,296,334,338,313,430,7
20-Apr-20,575,0,285,349,390,347,470,9
21-Apr-20,549,0,277,310,408,382,459,9
22-Apr-20,533,0,273,331,387,378,478,12
23-Apr-20,811,49,349,296,523,443,527,11
24-Apr-20,852,45,332,294,523,494,533,13
25-Apr-20,844,44,331,342,518,418,697,9
26-Apr-20,850,43,333,361,553,481,685,8
27-Apr-20,861,58,388,332,551,466,687,5
28-Apr-20,841,59,373,306,561,490,711,7
29-Apr-20,854,62,370,363,566,505,724,8
30-Apr-20,838,59,375,421,550,472,736,8
01-May-20,851,61,381,412,569,476,843,9
02-May-20,864,61,380,379,579,487,791,7
03-May-20,846,68,400,352,587,490,816,10
04-May-20,954,70,469,417,609,561,830,8
05-May-20,927,68,459,447,603,545,855,8
06-May-20,860,66,456,432,624,556,850,14
07-May-20,894,63,479,459,645,546,863,16
08-May-20,890,63,417,457,633,526,836,16
09-May-20,916,64,409,465,600,559,833,17
10-May-20,921,66,414,492,638,575,870,15
11-May-20,962,66,495,527,639,622,892,15
12-May-20,943,62,505,518,651,592,879,15
13-May-20,857,64,508,519,638,591,900,17
14-May-20,913,62,514,550,645,600,893,12
15-May-20,893,65,542,522,644,573,928,13
16-May-20,929,69,539,503,666,586,867,15
17-May-20,931,70,523,503,685,616,899,13
18-May-20,967,73,533,507,699,661,950,12
19-May-20,970,66,526,518,671,651,928,11
20-May-20,927,71,531,548,661,635,928,13
21-May-20,930,74,526,542,678,625,892,15
22-May-20,940,71,489,499,662,633,771,12
23-May-20,955,73,500,484,674,611,766,13
24-May-20,981,74,512,519,696,622,772,11
25-May-20,1003,75,534,541,697,671,811,16
26-May-20,999,72,598,525,745,701,832,15
27-May-20,1027,70,630,526,745,706,835,11
28-May-20,1030,70,620,526,728,682,841,13
29-May-20,1058,68,610,543,725,671,853,13
30-May-20,990,72,577,562,726,649,821,20
31-May-20,987,75,589,558,748,685,821,13
01-Jun-20,1013,64,608,588,764,741,893,17
02-Jun-20,1059,59,651,557,718,745,888,19
03-Jun-20,1109,63,663,566,664,723,879,19
04-Jun-20,1076,57,676,552,720,691,871,17
05-Jun-20,1036,62,666,535,707,726,893,26
06-Jun-20,997,66,663,497,674,693,873,19
07-Jun-20,1029,64,675,522,703,710,906,15
08-Jun-20,1091,63,654,600,775,778,924,14
09-Jun-20,1091,64,662,616,767,795,899,13
10-Jun-20,1106,64,687,616,741,716,899,16
11-Jun-20,1123,67,651,622,763,721,873,17
12-Jun-20,1072,65,660,639,740,789,861,18
13-Jun-20,1069,67,672,607,741,767,825,22
14-Jun-20,1072,67,665,628,736,783,868,22
15-Jun-20,1107,70,679,640,832,849,872,24
16-Jun-20,1115,73,698,636,838,835,883,19
17-Jun-20,1158,78,659,641,845,849,895,17
18-Jun-20,1154,81,665,644,862,844,892,18
19-Jun-20,1165,78,665,645,849,856,909,24
20-Jun-20,1218,80,671,662,884,811,878,25
21-Jun-20,1174,80,677,661,894,845,874,20
22-Jun-20,1194,82,708,674,912,899,908,11
23-Jun-20,1240,82,691,675,904,902,912,15
24-Jun-20,1204,85,707,643,893,859,892,13
25-Jun-20,1236,85,703,672,884,856,914,14
26-Jun-20,1235,90,686,660,895,873,903,16
27-Jun-20,1238,96,686,634,943,878,881,21
28-Jun-20,1274,96,712,655,924,890,909,21
29-Jun-20,1268,91,721,666,965,937,926,14
30-Jun-20,1258,92,723,677,937,945,901,15
01-Jul-20,1315,94,704,659,906,936,926,12
02-Jul-20,1313,97,693,674,884,932,938,15
03-Jul-20,1258,98,697,640,891,956,946,13
04-Jul-20,1221,97,706,619,827,894,917,18
05-Jul-20,1254,92,723,636,925,915,934,16
06-Jul-20,1328,97,755,689,944,976,971,13
07-Jul-20,1284,97,740,663,961,985,963,10
08-Jul-20,1324,94,739,709,954,970,987,12
09-Jul-20,1329,97,723,695,931,961,1013,17
10-Jul-20,1515,118,793,942,1109,1101,998,17
11-Jul-20,1516,122,778,943,1115,1061,989,18
12-Jul-20,1559,124,778,936,1141,1061,991,17
13-Jul-20,1581,127,804,921,1149,1100,1030,13
14-Jul-20,1558,122,835,880,1145,1120,1035,18
15-Jul-20,1569,127,790,887,1174,1118,1038,13
16-Jul-20,1569,132,815,964,1154,1117,1054,17
17-Jul-20,1526,133,828,945,1175,1151,1044,17
18-Jul-20,1531,131,806,915,1187,1050,999,19
19-Jul-20,1546,132,827,956,1180,1102,1009,20
20-Jul-20,1579,132,817,967,1197,1146,1062,13
21-Jul-20,1580,128,917,955,1196,1171,1069,8
22-Jul-20,1586,131,870,980,1169,1126,1074,8
23-Jul-20,1534,133,896,976,1168,1151,1059,10
24-Jul-20,1571,129,876,1018,1136,1118,1042,13
25-Jul-20,1525,126,844,997,1135,1093,1013,17
26-Jul-20,1555,127,886,1001,1166,1109,1015,18
27-Jul-20,1593,126,879,1051,1187,1176,1064,19
28-Jul-20,1526,130,884,1048,1170,1181,1081,13
29-Jul-20,1450,131,869,1022,1153,1191,1081,15
30-Jul-20,1424,132,873,1020,1142,1173,1089,16
31-Jul-20,1422,131,888,1040,1162,1167,1094,17
01-Aug-20,1504,135,847,986,1156,1144,1036,16
02-Aug-20,1533,135,862,1006,1156,1142,1043,17
03-Aug-20,1493,133,888,1038,1196,1187,1100,15
04-Aug-20,1450,129,888,1043,1128,1212,1076,20
05-Aug-20,1401,132,878,1066,1184,1187,1085,14
06-Aug-20,1455,131,869,1043,1157,1183,1110,17
07-Aug-20,1477,134,865,1033,1155,1188,1097,12
08-Aug-20,1501,137,887,1008,1176,1152,1041,15
09-Aug-20,1521,137,875,997,1153,1142,1070,14
10-Aug-20,1491,136,895,1026,1176,1175,1117,20
11-Aug-20,1527,134,888,1041,1208,1188,1126,15
12-Aug-20,1487,135,900,1054,1147,1204,1135,15
13-Aug-20,1497,134,908,1055,1151,1199,1149,14
14-Aug-20,1490,135,875,1072,1165,1215,1188,17
15-Aug-20,1513,140,852,1021,1197,1115,1130,16
16-Aug-20,1552,140,879,1041,1202,1178,1129,16
17-Aug-20,1563,140,885,1073,1222,1227,1183,16
18-Aug-20,1559,136,873,1086,1211,1251,1190,15
