,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,lsoa11cd,lsoa11nm_x,coordinates,lat,long,lsoa11nm_y,ladcd,ladnm,ladnmw,wimd_2019,FID,id,Health Board
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W01001546,Monmouthshire 002A,"[-3.020013694197964, 51.83235490446356]",-3.0200136939999997,51.8323549,Cantref 2,W06000021,Monmouthshire,Sir Fynwy,377,1261,W06000021,Aneurin Bevan University Health Board
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,W01001545,Monmouthshire 001A,"[-3.032002378762992, 51.828651241229664]",-3.0320023789999997,51.82865124,Cantref 1,W06000021,Monmouthshire,Sir Fynwy,1622,1260,W06000021,Aneurin Bevan University Health Board
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,W01001542,Monmouthshire 009A,"[-2.76448958218092, 51.61013064627603]",-2.764489582,51.61013065,Caerwent,W06000021,Monmouthshire,Sir Fynwy,1505,1258,W06000021,Aneurin Bevan University Health Board
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W01001543,Monmouthshire 009B,"[-2.750166055506137, 51.596932879400526]",-2.7501660560000003,51.59693288,Caldicot Castle 1,W06000021,Monmouthshire,Sir Fynwy,1613,1259,W06000021,Aneurin Bevan University Health Board
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,W01001540,Torfaen 004E,"[-3.050196182472566, 51.706621085927786]",-3.050196182,51.70662109,Wainfelin 1,W06000020,Torfaen,Torfaen,1117,1256,W06000020,Aneurin Bevan University Health Board
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,W01001541,Torfaen 004F,"[-3.053156952961331, 51.700052030552754]",-3.0531569530000002,51.70005203,Wainfelin 2,W06000020,Torfaen,Torfaen,530,1257,W06000020,Aneurin Bevan University Health Board
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,W01001548,Monmouthshire 001B,"[-2.966092599707717, 51.88742410089819]",-2.9660926,51.887424100000004,Crucorney,W06000021,Monmouthshire,Sir Fynwy,1231,1262,W06000021,Aneurin Bevan University Health Board
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,W01001549,Monmouthshire 007A,"[-2.761413562500314, 51.68703233965945]",-2.761413563,51.68703234,Devauden,W06000021,Monmouthshire,Sir Fynwy,1499,1263,W06000021,Aneurin Bevan University Health Board
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,W01000906,Neath Port Talbot 007A,"[-3.807613526395201, 51.671283934249026]",-3.8076135260000004,51.67128393,Bryn-coch South 3,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,1475,824,W06000012,Swansea Bay University Health Board
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,W01000987,Bridgend 007B,"[-3.578710896705847, 51.54310323349408]",-3.5787108969999997,51.54310323,Bryncoch,W06000013,Bridgend,Pen-y-bont ar Ogwr,581,859,W06000013,Cwm Taf Morgannwg University Health Board
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,W01000907,Neath Port Talbot 007B,"[-3.817172857018635, 51.66986755448716]",-3.817172857,51.66986755,Bryn-coch South 4,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,446,825,W06000012,Swansea Bay University Health Board
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,W01000986,Bridgend 007A,"[-3.56805591104809, 51.54837582769063]",-3.568055911,51.54837583,Bryncethin,W06000013,Bridgend,Pen-y-bont ar Ogwr,1135,858,W06000013,Cwm Taf Morgannwg University Health Board
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,W01000904,Neath Port Talbot 006C,"[-3.823048039449273, 51.669374002684705]",-3.8230480389999997,51.669374,Bryn-coch South 1,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,1853,822,W06000012,Swansea Bay University Health Board
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,W01000985,Bridgend 015C,"[-3.549636369070928, 51.51398096196629]",-3.549636369,51.51398096,Brackla 7,W06000013,Bridgend,Pen-y-bont ar Ogwr,1785,857,W06000013,Cwm Taf Morgannwg University Health Board
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,W01000905,Neath Port Talbot 006D,"[-3.815485939346497, 51.67419898359088]",-3.8154859389999998,51.67419898,Bryn-coch South 2,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,1336,823,W06000012,Swansea Bay University Health Board
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,W01000984,Bridgend 016D,"[-3.55217878847027, 51.505055626501104]",-3.552178788,51.50505563,Brackla 6,W06000013,Bridgend,Pen-y-bont ar Ogwr,1507,854,W06000013,Cwm Taf Morgannwg University Health Board
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,W01000902,Neath Port Talbot 006A,"[-3.818494620826748, 51.68591372667918]",-3.818494621,51.68591373,Bryn-coch North 1,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,1350,820,W06000012,Swansea Bay University Health Board
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,W01000983,Bridgend 015B,"[-3.543834477631131, 51.50700863139339]",-3.543834478,51.50700863,Brackla 5,W06000013,Bridgend,Pen-y-bont ar Ogwr,1639,1060,W06000013,Cwm Taf Morgannwg University Health Board
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,W01000903,Neath Port Talbot 006B,"[-3.815881368101302, 51.67851343188392]",-3.8158813680000003,51.67851343,Bryn-coch North 2,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,1766,821,W06000012,Swansea Bay University Health Board
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,W01000982,Bridgend 016C,"[-3.562738820529525, 51.50630644376587]",-3.5627388210000004,51.50630644,Brackla 4,W06000013,Bridgend,Pen-y-bont ar Ogwr,1302,1059,W06000013,Cwm Taf Morgannwg University Health Board
