,beds_genandacute_noncovid,ventbeds_noncovid,address,Date,Local Health Board,coordinates,lat,lon
0,656,5,"Bangor LL57 2PW, Wales",01-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
1,610,10,"Bangor LL57 2PW, Wales",02-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
2,596,11,"Bangor LL57 2PW, Wales",03-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
3,600,21,"Bangor LL57 2PW, Wales",04-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
4,722,8,"Bangor LL57 2PW, Wales",05-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
5,715,8,"Bangor LL57 2PW, Wales",06-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
6,615,10,"Bangor LL57 2PW, Wales",07-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
7,551,8,"Bangor LL57 2PW, Wales",08-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
8,536,12,"Bangor LL57 2PW, Wales",09-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
9,513,16,"Bangor LL57 2PW, Wales",10-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
10,530,12,"Bangor LL57 2PW, Wales",11-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
11,541,11,"Bangor LL57 2PW, Wales",12-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
12,542,9,"Bangor LL57 2PW, Wales",13-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
13,530,6,"Bangor LL57 2PW, Wales",14-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
14,545,5,"Bangor LL57 2PW, Wales",15-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
15,490,5,"Bangor LL57 2PW, Wales",16-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
16,487,5,"Bangor LL57 2PW, Wales",17-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
17,517,9,"Bangor LL57 2PW, Wales",18-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
18,535,8,"Bangor LL57 2PW, Wales",19-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
19,575,4,"Bangor LL57 2PW, Wales",20-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
20,549,6,"Bangor LL57 2PW, Wales",21-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
21,533,6,"Bangor LL57 2PW, Wales",22-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
22,811,6,"Bangor LL57 2PW, Wales",23-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
23,852,8,"Bangor LL57 2PW, Wales",24-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
24,844,11,"Bangor LL57 2PW, Wales",25-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
25,850,13,"Bangor LL57 2PW, Wales",26-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
26,861,8,"Bangor LL57 2PW, Wales",27-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
27,841,5,"Bangor LL57 2PW, Wales",28-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
28,854,8,"Bangor LL57 2PW, Wales",29-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
29,838,12,"Bangor LL57 2PW, Wales",30-Apr-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
30,851,10,"Bangor LL57 2PW, Wales",01-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
31,864,12,"Bangor LL57 2PW, Wales",02-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
32,846,8,"Bangor LL57 2PW, Wales",03-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
33,954,10,"Bangor LL57 2PW, Wales",04-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
34,927,6,"Bangor LL57 2PW, Wales",05-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
35,860,6,"Bangor LL57 2PW, Wales",06-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
36,894,8,"Bangor LL57 2PW, Wales",07-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
37,890,6,"Bangor LL57 2PW, Wales",08-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
38,916,8,"Bangor LL57 2PW, Wales",09-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
39,921,8,"Bangor LL57 2PW, Wales",10-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
40,962,9,"Bangor LL57 2PW, Wales",11-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
41,943,10,"Bangor LL57 2PW, Wales",12-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
42,857,9,"Bangor LL57 2PW, Wales",13-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
43,913,9,"Bangor LL57 2PW, Wales",14-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
44,893,9,"Bangor LL57 2PW, Wales",15-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
45,929,15,"Bangor LL57 2PW, Wales",16-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
46,931,16,"Bangor LL57 2PW, Wales",17-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
47,967,12,"Bangor LL57 2PW, Wales",18-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
48,970,11,"Bangor LL57 2PW, Wales",19-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
49,927,9,"Bangor LL57 2PW, Wales",20-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
50,930,9,"Bangor LL57 2PW, Wales",21-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
51,940,8,"Bangor LL57 2PW, Wales",22-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
52,955,10,"Bangor LL57 2PW, Wales",23-May-20,Betsi Cadwaladr University Local Health Board,"[53.2223537, -4.1334952088863295]",53.2223537,-4.1334952088863295
