Date,Betsi Cadwaladr University Local Health Board ,Powys Teaching Local Health Board (8),Hywel Dda University Local Health Board ,Swansea Bay University Local Health Board ,Cwm Taf Morgannwg University Local Health Board ,Aneurin Bevan University Local Health Board (9),Cardiff and Vale University Local Health Board (10),Velindre University NHS Trust 
01-Apr-20,25,0,32,58,34,2,31,0
02-Apr-20,17,0,36,57,32,15,17,0
03-Apr-20,19,0,37,54,31,15,23,0
04-Apr-20,21,0,35,56,23,16,23,0
05-Apr-20,27,0,35,59,25,11,25,0
06-Apr-20,30,0,34,53,21,17,26,0
07-Apr-20,30,0,38,69,28,15,25,0
08-Apr-20,30,0,37,69,31,11,30,0
09-Apr-20,30,0,38,71,30,15,27,0
10-Apr-20,28,0,37,20,29,15,32,0
11-Apr-20,35,0,36,36,32,14,39,0
12-Apr-20,33,0,37,19,29,16,38,0
13-Apr-20,33,0,34,21,27,21,37,0
14-Apr-20,38,0,35,20,32,20,37,0
15-Apr-20,39,0,35,23,31,21,46,0
16-Apr-20,39,0,36,32,32,22,43,0
17-Apr-20,35,0,33,14,32,22,43,0
18-Apr-20,28,0,36,21,32,25,43,0
19-Apr-20,30,0,37,18,32,26,43,0
20-Apr-20,38,0,35,18,32,26,42,0
21-Apr-20,41,0,39,24,34,26,45,0
22-Apr-20,44,0,28,31,33,26,45,0
23-Apr-20,41,0,27,34,38,31,43,0
24-Apr-20,40,0,18,35,34,33,49,0
25-Apr-20,33,0,15,37,36,31,48,0
26-Apr-20,36,0,13,41,36,33,54,0
27-Apr-20,39,0,13,38,32,46,55,0
28-Apr-20,45,0,11,39,34,46,45,0
29-Apr-20,39,0,11,38,35,52,47,0
30-Apr-20,26,0,11,41,38,55,50,0
01-May-20,29,0,12,42,40,56,52,0
02-May-20,30,0,13,40,39,56,50,0
03-May-20,37,0,13,38,39,56,47,0
04-May-20,35,0,16,37,40,54,46,0
05-May-20,40,0,14,35,42,55,50,0
06-May-20,41,0,13,37,41,54,49,0
07-May-20,36,0,13,42,39,49,52,0
08-May-20,40,0,14,49,40,52,50,0
09-May-20,44,0,16,50,42,54,48,0
10-May-20,40,0,15,49,45,55,52,0
11-May-20,40,0,14,27,42,56,53,0
12-May-20,41,0,14,26,43,57,56,0
13-May-20,42,0,13,29,43,59,58,0
14-May-20,44,0,13,27,42,56,58,0
15-May-20,43,0,13,28,44,58,58,0
16-May-20,27,0,15,29,40,58,55,0
17-May-20,34,0,15,26,37,58,53,0
18-May-20,36,0,13,21,40,55,50,0
19-May-20,34,0,14,22,30,55,48,0
20-May-20,39,0,14,23,29,56,55,0
21-May-20,33,0,15,29,32,57,56,0
22-May-20,36,0,15,26,31,58,57,0
23-May-20,43,0,13,24,35,59,60,0
24-May-20,41,0,15,13,35,55,61,0
25-May-20,37,0,14,16,35,61,64,0
26-May-20,36,0,15,18,34,63,58,0
27-May-20,36,0,13,17,34,62,59,0
28-May-20,37,0,13,4,36,63,60,0
29-May-20,37,0,17,15,34,61,59,0
30-May-20,35,0,15,20,39,61,57,0
31-May-20,36,0,14,18,37,62,58,0
01-Jun-20,34,0,17,12,36,63,57,0
02-Jun-20,37,0,17,21,35,61,49,0
03-Jun-20,35,0,13,13,37,60,52,0
04-Jun-20,37,0,13,22,40,60,54,0
05-Jun-20,35,0,14,19,37,58,55,0
06-Jun-20,33,0,14,21,37,58,51,0
07-Jun-20,33,0,8,22,40,60,53,0
08-Jun-20,34,0,8,23,35,61,37,0
09-Jun-20,35,0,10,22,34,60,37,0
10-Jun-20,29,0,11,24,37,58,36,0
11-Jun-20,30,0,11,22,37,58,36,0
12-Jun-20,29,0,11,24,38,57,37,0
13-Jun-20,38,0,12,19,37,61,40,0
14-Jun-20,38,0,8,19,37,61,44,0
15-Jun-20,30,0,9,4,34,19,42,0
16-Jun-20,30,0,12,5,35,18,42,0
17-Jun-20,32,0,12,4,36,14,43,0
18-Jun-20,31,0,12,4,25,14,42,0
19-Jun-20,32,0,11,4,25,16,44,0
20-Jun-20,32,0,13,4,23,8,40,0
21-Jun-20,31,0,11,3,24,17,40,0
22-Jun-20,33,0,11,3,23,17,44,0
23-Jun-20,35,0,13,4,20,14,44,0
24-Jun-20,31,0,11,3,19,18,46,0
25-Jun-20,30,0,9,1,22,16,46,0
26-Jun-20,33,0,8,2,21,17,43,0
27-Jun-20,35,0,9,3,21,19,41,0
28-Jun-20,36,0,7,5,25,21,40,0
29-Jun-20,33,0,8,3,23,20,38,0
30-Jun-20,36,0,13,5,20,22,38,0
