Date,Betsi Cadwaladr University Local Health Board ,Powys Teaching Local Health Board (8),Hywel Dda University Local Health Board ,Swansea Bay University Local Health Board ,Cwm Taf Morgannwg University Local Health Board ,Aneurin Bevan University Local Health Board (9),Cardiff and Vale University Local Health Board (10),Velindre University NHS Trust 
01-Apr-20,14,0,5,23,16,23,19,0
02-Apr-20,17,0,4,21,18,27,23,0
03-Apr-20,16,0,3,20,20,28,23,0
04-Apr-20,14,0,2,20,24,33,29,0
05-Apr-20,22,0,3,18,23,36,29,0
06-Apr-20,18,0,4,20,26,37,32,0
07-Apr-20,19,0,4,22,29,37,33,0
08-Apr-20,24,0,4,22,26,41,33,0
09-Apr-20,20,0,4,29,27,44,37,0
10-Apr-20,18,0,6,26,27,40,36,0
11-Apr-20,15,0,5,27,24,46,32,0
12-Apr-20,18,0,4,28,27,42,34,0
13-Apr-20,20,0,4,27,26,42,36,0
14-Apr-20,18,0,4,30,23,42,34,0
15-Apr-20,18,0,4,29,24,41,34,0
16-Apr-20,18,0,4,31,24,42,36,0
17-Apr-20,22,0,4,34,23,42,34,0
18-Apr-20,25,0,5,40,23,41,30,0
19-Apr-20,24,0,4,29,24,38,34,0
20-Apr-20,20,0,3,33,23,38,33,0
21-Apr-20,19,0,2,25,19,38,32,0
22-Apr-20,16,0,3,23,21,37,32,0
23-Apr-20,19,0,3,20,18,33,30,0
24-Apr-20,18,0,2,21,22,28,28,0
25-Apr-20,22,0,5,20,21,30,28,0
26-Apr-20,17,0,5,19,21,26,23,0
27-Apr-20,19,0,5,18,19,25,19,0
28-Apr-20,16,0,7,17,18,30,19,0
29-Apr-20,19,0,5,18,20,22,17,0
30-Apr-20,23,0,4,17,17,19,19,0
01-May-20,22,0,3,19,14,19,15,0
02-May-20,19,0,5,21,14,18,16,0
03-May-20,21,0,4,22,14,18,15,0
04-May-20,21,0,3,19,15,20,14,0
05-May-20,20,0,3,16,13,20,15,0
06-May-20,19,0,2,13,13,19,15,0
07-May-20,22,0,3,13,14,20,12,0
08-May-20,20,0,2,11,15,19,22,0
09-May-20,14,0,1,11,13,17,19,0
10-May-20,18,0,1,12,14,16,17,0
11-May-20,17,0,3,12,14,16,14,0
12-May-20,15,0,6,11,12,14,14,0
13-May-20,15,0,5,10,12,12,12,0
14-May-20,13,0,5,12,12,17,10,0
15-May-20,14,0,1,10,11,12,8,0
16-May-20,24,0,0,9,10,11,8,0
17-May-20,16,0,0,10,11,15,8,0
18-May-20,18,0,0,7,12,13,9,0
19-May-20,17,0,3,8,12,13,11,0
20-May-20,13,0,2,7,9,12,12,0
21-May-20,19,0,1,6,9,13,9,0
22-May-20,17,0,2,8,7,14,10,0
23-May-20,13,0,3,11,6,13,12,0
24-May-20,10,0,1,10,7,14,10,0
25-May-20,12,0,2,6,7,9,11,0
26-May-20,7,0,4,6,9,10,15,0
27-May-20,7,0,3,7,8,10,9,0
28-May-20,10,0,3,7,8,8,10,0
29-May-20,11,0,5,6,8,6,9,0
30-May-20,12,0,3,5,6,6,7,0
31-May-20,10,0,4,5,7,7,9,0
01-Jun-20,8,0,2,6,6,8,7,0
02-Jun-20,8,0,3,6,8,8,11,0
03-Jun-20,9,0,4,6,6,8,9,0
04-Jun-20,13,0,3,7,4,8,7,0
05-Jun-20,8,0,4,11,7,5,9,0
06-Jun-20,6,0,4,7,4,10,10,0
07-Jun-20,8,0,5,5,4,7,9,0
08-Jun-20,9,0,3,5,4,7,10,0
09-Jun-20,9,0,3,4,4,7,13,0
10-Jun-20,6,0,3,5,3,6,9,0
11-Jun-20,7,0,2,6,1,4,9,0
12-Jun-20,7,0,2,4,4,3,9,0
13-Jun-20,7,0,3,5,1,2,9,0
14-Jun-20,8,0,7,5,2,2,7,0
15-Jun-20,8,0,5,5,7,2,9,0
16-Jun-20,8,0,4,5,3,3,6,0
17-Jun-20,10,0,3,5,3,5,7,0
18-Jun-20,6,0,3,5,4,5,6,0
19-Jun-20,5,0,3,4,3,4,8,0
20-Jun-20,8,0,1,4,3,6,11,0
21-Jun-20,7,0,2,5,3,4,6,0
22-Jun-20,7,0,2,5,5,2,6,0
23-Jun-20,5,0,3,3,3,3,5,0
24-Jun-20,8,0,1,4,1,4,9,0
25-Jun-20,7,0,0,4,0,4,6,0
26-Jun-20,8,0,0,4,0,2,10,0
27-Jun-20,7,0,0,3,1,3,7,0
28-Jun-20,5,0,2,3,3,1,7,0
29-Jun-20,8,0,1,4,2,2,7,0
30-Jun-20,5,0,0,4,4,1,8,0
01-Jul-20,7,0,1,4,2,2,6,0
02-Jul-20,6,0,0,4,1,1,7,0
03-Jul-20,4,0,1,4,1,0,7,0
04-Jul-20,3,0,0,3,3,0,6,0
05-Jul-20,5,0,0,4,1,0,6,0
06-Jul-20,4,0,0,3,0,2,4,0
07-Jul-20,4,0,0,3,2,0,3,0
08-Jul-20,4,0,2,2,0,0,2,0
09-Jul-20,4,0,0,2,0,3,3,0
10-Jul-20,10,0,1,2,2,1,1,0
11-Jul-20,3,0,0,3,1,2,1,0
12-Jul-20,4,0,1,3,2,2,2,0
13-Jul-20,5,0,1,3,4,2,2,0
14-Jul-20,4,0,0,2,0,1,2,0
15-Jul-20,3,0,0,2,0,3,2,0
16-Jul-20,8,0,1,2,1,3,2,0
17-Jul-20,3,0,0,2,1,3,2,0
18-Jul-20,4,0,0,2,1,1,2,0
19-Jul-20,1,0,0,3,1,1,1,0
20-Jul-20,1,0,0,3,0,1,1,0
21-Jul-20,1,0,0,5,2,0,1,0
22-Jul-20,2,0,0,4,1,0,1,0
23-Jul-20,5,0,0,0,0,0,1,0
24-Jul-20,4,0,0,1,2,0,1,0
25-Jul-20,4,0,0,1,0,1,1,0
26-Jul-20,4,0,0,1,0,1,1,0
27-Jul-20,5,0,0,1,2,1,2,0
28-Jul-20,5,0,1,1,0,4,1,0
29-Jul-20,5,0,1,1,0,4,1,0
30-Jul-20,4,0,0,1,1,3,2,0
31-Jul-20,1,0,0,1,2,5,1,0
01-Aug-20,3,0,2,1,0,5,3,0
02-Aug-20,4,0,0,1,0,1,3,0
03-Aug-20,1,0,0,1,1,2,1,0
04-Aug-20,1,0,0,1,0,3,2,0
05-Aug-20,1,0,1,1,0,1,2,0
06-Aug-20,1,0,0,1,0,0,1,0
07-Aug-20,0,0,2,1,0,1,1,0
08-Aug-20,0,0,0,1,0,0,2,0
09-Aug-20,0,0,0,1,0,3,1,0
10-Aug-20,0,0,0,1,0,4,1,0
11-Aug-20,0,0,0,1,0,3,2,0
12-Aug-20,2,0,1,1,0,1,2,0
13-Aug-20,0,0,2,1,0,2,1,0
14-Aug-20,1,0,1,1,0,2,1,0
15-Aug-20,0,0,0,2,0,2,1,0
16-Aug-20,0,0,0,3,1,2,0,0
17-Aug-20,1,0,0,1,0,1,0,0
18-Aug-20,1,0,0,1,0,1,3,0
19-Aug-20,1,0,1,1,0,1,1,0
20-Aug-20,1,0,2,3,0,3,1,0
21-Aug-20,2,0,0,2,1,0,1,0
22-Aug-20,0,0,1,1,0,0,1,0
23-Aug-20,0,0,2,1,1,0,1,0
24-Aug-20,0,0,2,1,0,0,1,0
25-Aug-20,0,0,1,2,0,1,0,0
26-Aug-20,0,0,1,3,0,2,0,0
