Date,Betsi Cadwaladr University Local Health Board ,Powys Teaching Local Health Board,Hywel Dda University Local Health Board ,Swansea Bay University Local Health Board ,Cwm Taf Morgannwg University Local Health Board ,Aneurin Bevan University Local Health Board ,Cardiff and Vale University Local Health Board ,Velindre University NHS Trust 
01-Apr-20,5,0,9,10,7,4,13,0
02-Apr-20,10,0,6,13,7,0,15,0
03-Apr-20,11,0,6,17,6,2,17,0
04-Apr-20,21,0,6,15,5,2,11,0
05-Apr-20,8,0,5,14,4,4,9,0
06-Apr-20,8,0,4,18,5,3,13,0
07-Apr-20,10,0,4,18,3,5,13,0
08-Apr-20,8,0,5,18,3,5,13,0
09-Apr-20,12,0,4,14,3,5,11,0
10-Apr-20,16,0,3,17,4,9,11,0
11-Apr-20,12,0,5,0,4,4,16,0
12-Apr-20,11,0,5,16,4,6,15,0
13-Apr-20,9,0,8,14,7,7,14,0
14-Apr-20,6,0,7,13,6,8,16,0
15-Apr-20,5,0,7,11,5,8,14,0
16-Apr-20,5,0,6,0,4,6,15,0
17-Apr-20,5,0,9,15,5,6,17,0
18-Apr-20,9,0,5,2,5,4,21,0
19-Apr-20,8,0,5,16,4,6,17,0
20-Apr-20,4,0,8,12,5,6,19,0
21-Apr-20,6,0,3,20,7,6,17,0
22-Apr-20,6,0,3,15,6,7,17,0
23-Apr-20,6,0,4,15,4,6,21,0
24-Apr-20,8,0,5,13,4,9,17,0
25-Apr-20,11,0,5,12,4,9,18,0
26-Apr-20,13,0,7,9,3,11,17,0
27-Apr-20,8,0,7,13,9,12,16,0
28-Apr-20,5,0,7,13,8,7,19,0
29-Apr-20,8,0,9,13,4,9,19,0
30-Apr-20,12,0,10,11,4,9,19,0
01-May-20,10,0,10,8,5,8,21,0
02-May-20,12,0,7,8,6,9,22,0
03-May-20,8,0,8,9,6,9,26,0
04-May-20,10,0,6,13,4,9,28,0
05-May-20,6,0,8,18,4,8,23,0
06-May-20,6,0,10,19,5,10,24,0
07-May-20,8,0,9,14,6,7,24,0
08-May-20,6,0,9,9,4,5,16,0
09-May-20,8,0,8,8,4,5,21,0
10-May-20,8,0,9,8,0,5,19,0
11-May-20,9,0,9,10,3,4,21,0
12-May-20,10,0,6,12,4,5,18,0
13-May-20,9,0,7,10,4,5,18,0
14-May-20,9,0,8,10,5,3,20,0
15-May-20,9,0,11,11,4,6,22,0
16-May-20,15,0,10,11,9,7,25,0
17-May-20,16,0,10,13,11,3,27,0
18-May-20,12,0,12,18,7,8,29,0
19-May-20,11,0,8,16,9,8,29,0
20-May-20,9,0,9,16,13,8,31,0
21-May-20,9,0,9,11,10,6,33,0
22-May-20,8,0,8,12,13,4,31,0
23-May-20,10,0,9,11,14,4,26,0
24-May-20,10,0,9,15,13,7,27,0
25-May-20,10,0,9,16,13,6,23,0
26-May-20,16,0,6,14,12,3,25,0
27-May-20,19,0,9,14,13,4,30,0
28-May-20,13,0,9,27,11,5,28,0
29-May-20,12,0,3,22,13,9,30,0
30-May-20,14,0,7,21,10,9,34,0
31-May-20,20,0,7,23,11,7,31,0
01-Jun-20,16,0,6,28,13,5,34,0
02-Jun-20,16,0,5,19,12,7,33,0
03-Jun-20,17,0,8,27,12,8,32,0
04-Jun-20,11,0,9,17,11,8,32,0
05-Jun-20,18,0,7,16,11,13,29,0
06-Jun-20,18,0,7,18,14,8,32,0
07-Jun-20,16,0,12,19,11,9,31,0
08-Jun-20,14,0,14,18,12,8,32,0
09-Jun-20,14,0,12,20,13,9,29,0
10-Jun-20,23,0,11,17,11,12,34,0
11-Jun-20,20,0,12,18,13,14,34,0
12-Jun-20,21,0,12,18,9,16,33,0
13-Jun-20,16,0,10,19,13,13,30,0
14-Jun-20,15,0,10,19,12,13,28,0
15-Jun-20,19,0,11,20,10,11,28,0
16-Jun-20,19,0,9,19,13,11,31,0
17-Jun-20,15,0,10,20,12,13,29,0
18-Jun-20,20,0,10,20,11,13,31,0
19-Jun-20,20,0,11,21,12,12,27,0
20-Jun-20,17,0,11,21,14,18,28,0
21-Jun-20,19,0,12,21,13,11,33,0
22-Jun-20,17,0,12,21,12,13,29,0
23-Jun-20,17,0,9,22,17,15,30,0
24-Jun-20,18,0,13,22,20,10,24,0
25-Jun-20,20,0,16,24,18,12,27,0
26-Jun-20,16,0,17,23,19,13,26,0
27-Jun-20,15,0,16,23,18,10,31,0
28-Jun-20,16,0,16,21,12,10,32,0
29-Jun-20,16,0,16,22,15,10,34,0
30-Jun-20,16,0,12,23,16,9,33,0
01-Jul-20,14,0,11,27,17,8,31,0
02-Jul-20,23,0,11,30,15,9,32,0
03-Jul-20,28,0,11,32,13,11,33,0
04-Jul-20,25,0,10,28,10,9,34,0
05-Jul-20,23,0,9,26,14,9,35,0
06-Jul-20,24,0,11,26,14,11,35,0
07-Jul-20,22,0,7,23,11,16,35,0
08-Jul-20,24,0,5,17,15,17,36,0
09-Jul-20,24,0,8,15,14,13,36,0
10-Jul-20,25,0,8,12,14,18,37,0
11-Jul-20,24,0,10,15,15,12,38,0
12-Jul-20,20,0,11,17,15,13,37,0
13-Jul-20,20,0,15,13,13,14,36,0
14-Jul-20,19,0,17,12,18,13,34,0
